"model_device","brand","model_name","release_year","release_month","release_price","screensize","detail"
"lumia 530 dual sim like",NA,NA,NA,NA,NA,NA,NA
"htc one m8","htc","one (m8) cdma",2014,"March","440","5","also known as htc m8, all new htc one"
"vie-l29","huawei","p9 plus",2016,"May","600","5.5","versions: vie-l09 (single sim); vie-l29 (dual sim)"
"i-mobile i-style 210",NA,NA,NA,NA,NA,NA,NA
"smart 4g 5.0",NA,NA,NA,NA,NA,NA,NA
"lenovo x3a40","lenovo","vibe x3",2015,"December","400","5.5",NA
"zte v815w",NA,NA,NA,NA,NA,NA,NA
"h30-u10","huawei","honor 3c 4g",2014,"June","200","5","also known as huawei honor 3c lte"
"lumia 920 like","nokia","lumia 920",2012,"November","210","4.5",NA
"lg  h818","lg","g4 dual",2015,"May","380","5.5","also known as lg g4 dual-lte, lg g4 dual-sim, lg h818p (indonesia, ukraine, thailand), lg h818n (hong kong)"
"lenovo a7020a48","lenovo","vibe k4 note",2016,"January","190","5.5","also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
"lenovo s60-a","lenovo","s60",2015,"March","280","5","available as lenovo s60-t for china"
"gra-ul00","huawei","p8max",2015,"July","500","6.8",NA
"asus t00n","asus","transformer tf101",2011,"April","280","10.1","tablet with no support for gsm voice communication, sms, and mms."
"i-mobile iq6.3",NA,NA,NA,NA,NA,NA,NA
"e6853","sony","xperia x premium",2015,"Q3",NA,"5.5","unofficial preliminary specifications. product image for illustrative purposes."
"lenovo p70-a","lenovo","p70",2015,"February","240","5",NA
"i-mobile iq z",NA,NA,NA,NA,NA,NA,NA
"r819","oppo","r819",2013,"September","250","4.7",NA
"i-mobile iq6.6",NA,NA,NA,NA,NA,NA,NA
"blade s6 lite",NA,NA,NA,NA,NA,NA,NA
"k019","asus","fonepad 7 fe375cg",2014,"Q3","210","7",NA
"asus z00rd","asus","zenfone 2 laser ze500kg",2015,"October","200","5",NA
"iphone os 6","apple","iphone 6 plus",2014,"September","700","5.5",NA
"nokiax2ds","nokia","x2 dual sim",2014,"July","90","4.3","also known as nokia x2 rm-1013, nokia x2ds"
"zte v830w",NA,NA,NA,NA,NA,NA,NA
"true smart 7.0 quadcore",NA,NA,NA,NA,NA,NA,NA
"nexus 5","lg","nexus 5x",2015,"October","270","5.2",NA
"iris354","lava","3g 354",2014,"May",NA,"3.5",NA
"b1-723",NA,NA,NA,NA,NA,NA,NA
"infinite ii",NA,NA,NA,NA,NA,NA,NA
"lenovo a859","lenovo","a859",2014,"April","140","5",NA
"chc-u23","huawei","honor 4c",2015,"April","170","5","also known as huawei g play mini"
"a1-713",NA,NA,NA,NA,NA,NA,NA
"lenovo a369i","lenovo","a369i",2013,"Q3","70","4",NA
"lenovo a6000","lenovo","a6000 plus",2015,"April","110","5","also known as lenovo a6000+"
"i553",NA,NA,NA,NA,NA,NA,NA
"true beyond 3g",NA,NA,NA,NA,NA,NA,NA
"z500","asus","zenpad 3s 10 z500m",2016,"August",NA,"9.7","this is not a gsm device, it will not work on any gsm network worldwide."
"zte blade d6 lite 4g",NA,NA,NA,NA,NA,NA,NA
"u feel",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 6.9 dtv",NA,NA,NA,NA,NA,NA,NA
"fl02","alcatel","flash plus",2015,"May","130","5.5",NA
"feature phone",NA,NA,NA,NA,NA,NA,NA
"scl-u23","huawei","ascend y600",2014,"June","100","5",NA
"asus t00p","asus","zenfone 5 a500kl",2014,"July","210","5",NA
"d5303","sony","xperia m ultra",2015,"Q3",NA,"6","unofficial preliminary specifications. product image for illustrative purposes."
"i-mobile iq x lucus",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 5.5",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-tab fun 7008",NA,NA,NA,NA,NA,NA,NA
"gt-i9100","samsung","galaxy s ii 4g i9100m",2011,"July","260","4.3","for virgin mobile and bell in canada"
"e6653","sony","xperia z5 compact",2015,"October","410","4.6",NA
"gem-702l","huawei","u8500 ideos x2",2010,"3Q","90","3.2",NA
"c2305","sony","xperia c",2013,"July","220","5","also known as sony xperia c hspa+ c2305"
"i-mobile i-style 221",NA,NA,NA,NA,NA,NA,NA
"c6603","sony","xperia z",2013,"February","270","5","also known as sony xperia c6603, sony xperia c6602, sony xperia z lte, sony xperia z hspa+"
"vivo xplay3s",NA,NA,NA,NA,NA,NA,NA
"iq9.1",NA,NA,NA,NA,NA,NA,NA
"z205","acer","liquid z200",2014,"September","90","4","available as acer liquid z200 duo with dual-sim card slots"
"htc desire eye","htc","desire eye",2014,"November","380","5.2",NA
"sm-g316","samsung","z360",2008,NA,NA,"2.1",NA
"lg  d335","lg","l bello",2014,"September","100","5","versions:
lg d331 with single-sim
lg d335 with dual-sim"
"zte v816w",NA,NA,NA,NA,NA,NA,NA
"fever",NA,NA,NA,NA,NA,NA,NA
"t06","acer","liquid zest plus",2016,"July","200","5.5","also known as acer liquid zest plus z628"
"gxq6580 we l",NA,NA,NA,NA,NA,NA,NA
"htc desire 820s dual sim","htc","desire 820s dual sim",2015,"March","370","5.5",NA
"lenovo s850","lenovo","s856",2014,"October","210","5.5",NA
"zte blade v0720",NA,NA,NA,NA,NA,NA,NA
"gt-i8190","samsung","i8190 galaxy s iii mini",2012,"November","130","4","also known as samsung i8190 galaxy s3 mini, samsung galaxy s iii more
available as samsung i8190n galaxy s iii mini with nfc"
"bloom",NA,NA,NA,NA,NA,NA,NA
"vivo x5max",NA,NA,NA,NA,NA,NA,NA
"gt-n7000","samsung","galaxy note n7000",2011,"October","270","5.3","also known as samsung gt-n7000, samsung i9220"
"i-mobile iq 5.8 dtv",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq1.2",NA,NA,NA,NA,NA,NA,NA
"n17","nokia","e71",2008,"July","110","2.36","- nokia e71x for at&t"
"lenovo k910l","lenovo","vibe z k910",2013,"November","480","5.5",NA
"dtac phone m1",NA,NA,NA,NA,NA,NA,NA
"r1011","oppo","joy plus",2015,"May","100","4",NA
"sm-t311","samsung","galaxy tab 3 8.0",2013,"July","270","8","tablet with support for gsm voice communication, sms, and mms (t311/t315)
tablet with no support for gsm voice communication, sms, and mms (t310)
also known as:
samsung galaxy tab 3 8.0 wi-fi
samsung galaxy tab 3 8.0 3g
samsung galaxy tab 3 8.0 lte"
"asus t00g","asus","zenfone 6 a600cg",2014,"May","250","6",NA
"lenovo a3000-h","lenovo","ideatab a3000",2013,"May","180","7",NA
"htc one","htc","one e9+",2015,"May","320","5.5","also known as htc one e9 plus (a55)
"
"vivo x3s",NA,NA,NA,NA,NA,NA,NA
"zte v779m",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq xpro 3",NA,NA,NA,NA,NA,NA,NA
"one","unnecto","drone xs",2016,"June",NA,"3.5",NA
"i-mobile iq 1.5 dtv",NA,NA,NA,NA,NA,NA,NA
"c5302","sony","xperia sp",2013,"April","180","4.6","also known as sony xperia sp hspa c5302, sony xperia sp lte c5303, sony xperia sp lte c5306"
"highway pure",NA,NA,NA,NA,NA,NA,NA
"infinite","asus","transformer prime tf700t",2012,"July","400","10.1","tablet with no support for gsm voice communication, sms, and mms
released as asus transformer pad infinity 700"
"lenovo a6020a40","lenovo","vibe k5",2016,"April","120","5","also known as lenovo a6020a40"
"lumia 830","nokia","lumia 830",2014,"September","330","5","also known as nokia lumia 830 rm-984"
"mi 4w",NA,NA,NA,NA,NA,NA,NA
"lenovo a6020a46","lenovo","vibe k5 plus",2016,"April","140","5","also known as lenovo a6020a46, lenovo lemon 3"
"i-mobile iq 6.1",NA,NA,NA,NA,NA,NA,NA
"iris 512","lava","iris atom",2015,"December",NA,"4",NA
"x909","oppo","u705t ulike 2",2012,"December","280","4.5",NA
"i552",NA,NA,NA,NA,NA,NA,NA
"hol-u19","huawei","honor holly",2014,"October","100","5",NA
"u feel lite",NA,NA,NA,NA,NA,NA,NA
"cam-l21",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 2.6",NA,NA,NA,NA,NA,NA,NA
"p7-l10","huawei","ascend p7 mini",2014,"May","180","4.5",NA
"e2353","sony","d 2403",2015,"Q3","200","4.4","released as sony xperia m2 aqua"
"y541-u02","huawei","honor bee",2015,"May","70","4.5","also known as huawei y5c"
"thunder max",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 6",NA,NA,NA,NA,NA,NA,NA
"gxq6580 weg l",NA,NA,NA,NA,NA,NA,NA
"gt-i9505","samsung","i9505 galaxy s4",2013,"April","330","5","also known as:
samsung galaxy s4 value edition i9515
samsung sgh-i337 for at&t
samsung i9505g galaxy s4 google play edition"
"p8max","huawei","p8max",2015,"July","500","6.8",NA
"n1","nokia","n1",2015,"January","320","7.9","this is not a gsm device, it will not work on any gsm network worldwide."
"smart4g4inch",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq xpro2",NA,NA,NA,NA,NA,NA,NA
"i-style2.1",NA,NA,NA,NA,NA,NA,NA
"d2303","sony","d 2403",2015,"Q3","200","4.4","released as sony xperia m2 aqua"
"lenovo tab 2 a7-30hc","lenovo","tab3 7",2016,"April","80","7",NA
"mt7-l09","huawei","ascend mate7 monarch",2015,"March","500","6","also known as huawei ascend mate7 monarch edition"
"lenovo p90","lenovo","p90",2015,"April","450","5.5",NA
"sm-g130","samsung","galaxy young 2",2014,"October","100","3.5","also known as samsung galaxy young 2 g130h"
"f3116","sony","xperia tipo dual",2012,"September","90","3.2","also known as sony st21i2, sony st21a2"
"iphone os 4","apple","iphone 4s",2011,"October","190","3.5","cdma available only if sold and activated for use on a cdma network"
"zte v797",NA,NA,NA,NA,NA,NA,NA
"zte v769m",NA,NA,NA,NA,NA,NA,NA
"e5333","sony","xperia tipo dual",2012,"September","90","3.2","also known as sony st21i2, sony st21a2"
"sm-c101","samsung","galaxy s4 zoom",2013,"July","280","4.3","also known as samsung galaxy s4 zoom c1010, c101"
"d2533","sony","xperia c3",2014,"August","190","5.5","also known as sony xperia c3 d2533"
"lenovo a5500-hv","lenovo","a8-50 a5500",2014,"June","140","8","versions:
lenovo a5500-f - wi-fi only (mediatek mt8121)
lenovo a5500-h - wi-fi + 3g (data only)
lenovo a5500-hv - wi-fi + 3g (voice)"
"twz-a567",NA,NA,NA,NA,NA,NA,NA
"zte blade","orange","san francisco ii",2011,"November","120","3.5","also known as zte crescent, zte blade s"
"s500","posh","revel s500",2014,"August",NA,"5",""
"lenovo a1000","lenovo","tab 2 a10-70",2015,"April","180","10.1","versions:
lenovo tab 2 a10-70f wi-fi only
lenovo tab 2 a10-70l wi-fi + 4g/3g (data only)"
"shv-e250s","samsung","galaxy s6 edge",2015,"April","470","5.1","also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
"lg  h502","lg","magna",2015,"May","140","5","also known as lg magna h502f, h500f"
"lenovo s650","lenovo","s650",2013,"December","270","4.7",NA
"htc desire 826 dual sim","htc","desire 826 dual sim",2015,"March","200","5.5",NA
"pro","samsung","galaxy j3 pro",2016,"June","150","5",NA
"tag-l22","huawei","g6600 passport",2010,"Q1","30","2.4",NA
"sunny",NA,NA,NA,NA,NA,NA,NA
"a1-724",NA,NA,NA,NA,NA,NA,NA
"premium","sony","xperia x premium",2015,"Q3",NA,"5.5","unofficial preliminary specifications. product image for illustrative purposes."
"lenovo a526","lenovo","a526",2014,"June","70","4.5",NA
"c6802","sony","xperia z ultra",2013,"July","280","6.4","also known as sony xperia z ultra hspa+ c6802, sony xperia z ultra lte c6806, sony xperia z ultra lte c6833"
"n6+","pantech","pursuit ii",2011,"July","200","2.8","for at&t
also known as pantech p6010"
"mediapad t1 8.0","huawei","mediapad t1 8.0",2014,"September","150","8","also known as huawei honor tablet t1"
"alcatel onetouch flash plus","alcatel","idol x+",2014,"Q2","290","5","also known as alcatel one touch idol x plus, alcatel idol x+ 6043d"
"lenovo pb1-750m","lenovo","a850+",2014,"April","160","5.5","also known as lenovo a850 plus"
"gt-s5310","samsung","galaxy pocket neo s5310",2013,"June","90","3","versions:
samsung pocket neo gt-s5312 or samsung galaxy pocket y neo gt-s5312 with dual-sim card slots"
"lg  h540","lg","g4 stylus",2015,"May","250","5.7","versions: h631 (t-mobile); ms631 (metro pcs); h635 (emea); h540 (uae); h630d (india); h542 (mexico)"
"i-mobile i-style 215",NA,NA,NA,NA,NA,NA,NA
"a700","samsung","galaxy a7 duos",2015,"February","370","5.5","versions: a7000, a7009, a700h, a700yd"
"che2-l12",NA,NA,NA,NA,NA,NA,NA
"sm-t110","samsung","galaxy tab 3 lite 7.0",2014,"February","150","7","tablet with no support for gsm voice communication, sms, and mms
also known as samsung t110"
"asus z012db","asus","zenfone 3 ze552kl",2016,"August","450","5.5",NA
"sm-p355","samsung","galaxy tab a 8.0",2015,"May","210","8","versions: t350 (wi-fi); t355 (3g/lte)"
"lenovo s930","lenovo","s939",2014,"May","180","6",NA
"ad-572",NA,NA,NA,NA,NA,NA,NA
"gt-i8160","samsung","galaxy ace 2 i8160",2012,"May","130","3.8","available as samsung galaxy ace ii x s7560m for bell canada"
"lenovo a6010","lenovo","vibe k5 plus",2016,"April","140","5","also known as lenovo a6020a46, lenovo lemon 3"
"iris565",NA,NA,NA,NA,NA,NA,NA
"pe-tl10","huawei","ascend plus",2014,"April","110","4","also known as huawei h881c ascend plus"
"d2502","sony","xperia c3 dual",2014,"August","250","5.5","also known as sony xperia c3 dual d2502"
"redmi note 2",NA,NA,NA,NA,NA,NA,NA
"g620s-l02","huawei","ascend g620s",2014,"November","180","5",NA
"i-mobile iq 5.1",NA,NA,NA,NA,NA,NA,NA
"z3","sony","xperia z3+",2015,"June","340","5.2","also known as sony xperia z3 plus, xperia z4, sony e6553"
"i-mobile i-style 2.3",NA,NA,NA,NA,NA,NA,NA
"m2 note","meizu","m2 note",2015,"June","200","5.5","also known as meizu blue charm note2"
"i-401",NA,NA,NA,NA,NA,NA,NA
"lenovoa3300-hv","lenovo","a7-30 a3300",2014,"May","80","7","available as wi-fi only version with mediatek mt8121m chipset"
"c6833","sony","xperia z ultra",2013,"July","280","6.4","also known as sony xperia z ultra hspa+ c6802, sony xperia z ultra lte c6806, sony xperia z ultra lte c6833"
"a88new",NA,NA,NA,NA,NA,NA,NA
"ipad","apple","ipad pro 9.7",2016,"March","690","9.7","supported lte networks
versions: apple ipad pro wi-fi + cellular (3g/lte); apple ipad pro wi-fi (wi-fi, w/o gps)"
"sf1",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 511",NA,NA,NA,NA,NA,NA,NA
"lenovo s1a40","lenovo","vibe s1",2015,"November","270","5",NA
"a99","micromax","a99 canvas xpress",2014,"Q4","110","4.5",NA
"zte blade a110",NA,NA,NA,NA,NA,NA,NA
"mi 5",NA,NA,NA,NA,NA,NA,NA
"gt-s6310","samsung","galaxy young s6310",2013,"March","90","3.27","versions: s6310l; samsung galaxy young duos s6312 with dual-sim card slots"
"i515","samsung","galaxy nexus i515",2011,"November","150","4.65","for verizon
also known as samsung galaxy nexus cdma, samsung sch-i515, google nexus prime, samsung droid prime"
"a","blackberry","pearl 8130",20078,NA,NA,"2.2","this is not a gsm device, it will not work on any gsm network worldwide."
"gt-p6200","samsung","p6200 galaxy tab 7.0 plus",2011,"October","260","7","also known as:
samsung galaxy tab 7.0n plus
samsung galaxy tab 7.0 plus n in germany
tablet with support for gsm voice communication, sms, and mms"
"asus t00f","asus","zenfone 5 a501cg",2015,"January","120","5","versions:
intel atom z2520, dual-core 1.2 ghz
intel atom z2560, dual-core 1.6 ghz"
"y600-u151","huawei","ascend y600",2014,"June","100","5",NA
"6042d","alcatel","flash plus",2015,"May","130","5.5",NA
"n18","alcatel","ot-918d",2011,"December","130","3.2",NA
"i-mobile i-style 7.9 dtv",NA,NA,NA,NA,NA,NA,NA
"s700","posh","equal s700",2014,"September",NA,"7",""
"highway signs",NA,NA,NA,NA,NA,NA,NA
"mi 3w",NA,NA,NA,NA,NA,NA,NA
"ideataba1000-g","lenovo","ideatab a1000",2013,"May","150","7","tablet with no support for gsm voice communication, sms, and mms"
"lg  d410","lg","l90 dual d410",2014,"April","290","4.7","also available as lg l90 dual sim d410"
"lenovo p1a42","lenovo","vibe p1 turbo",2016,"February","260","5.5","also known as lenovo vibe p1 pro"
"mi max",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 515 dtv",NA,NA,NA,NA,NA,NA,NA
"d5833","sony","xperia z3 compact",2014,"September","370","4.6","also known as sony d5803, d5833"
"g750-u10","huawei","honor 3x g750",2013,"December","250","5.5","also known as huawei ascend g750"
"g7-l03","huawei","ascend g7",2014,"October","260","5.5","also known as huawei g7-l01, g7-l03"
"a56","micromax","a56",2012,"July","80","3.5",NA
"i-mobile i-style 7.8 dtv",NA,NA,NA,NA,NA,NA,NA
"mt7-tl10","huawei","ascend mate7 monarch",2015,"March","500","6","also known as huawei ascend mate7 monarch edition"
"y600-u20","huawei","ascend y600",2014,"June","100","5",NA
"i-mobile i-style 8.2",NA,NA,NA,NA,NA,NA,NA
"lg  d618","lg","g2 mini",2014,"April","160","4.7","available as lg g2 mini d618 dual sim with dual-sim card slots"
"htc desire 816g dual sim","htc","desire 816g dual sim",2014,"October","260","5.5",NA
"p024","asus","zenpad 8.0 z380kl",2015,"July",NA,"8",NA
"sunset2",NA,NA,NA,NA,NA,NA,NA
"lua-l22","huawei","y3ii",2016,"June",NA,"4.5","also known as huawei y3 2"
"me371mg","asus","fonepad",2013,"April","260","7","also available with a 1.6 ghz intel atom z2460 processor and 32 gb of built-in storage"
"i-mobile iqx bliz",NA,NA,NA,NA,NA,NA,NA
"d5503","sony","xperia z1 compact",2014,"January","320","4.3","also known as sony xperia z1 compact d5503"
"i-mobile iq5.1a pro",NA,NA,NA,NA,NA,NA,NA
"shv-e250k","samsung","galaxy s6 edge",2015,"April","470","5.1","also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
"i-mobile iq 6a",NA,NA,NA,NA,NA,NA,NA
"lenovo a3500-hv","lenovo","a7-50 a3500",2014,"June","120","7","versions:
lenovo a3500-f - wi-fi only (mediatek mt8381)
lenovo a3500-h - wi-fi + 3g (data only)
lenovo a3500-hv - wi-fi + 3g (voice)"
"zte v817",NA,NA,NA,NA,NA,NA,NA
"i612",NA,NA,NA,NA,NA,NA,NA
"zte n939sc",NA,NA,NA,NA,NA,NA,NA
"n2","niu","pana 3g tv n206",2012,"September",NA,"2","- single sim: n216
- dual sim: n206"
"lg  h788",NA,NA,NA,NA,NA,NA,NA
"shv-e210s","samsung","galaxy tab 3 7.0 wifi",2013,"July","140","7","tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 7.0 p3210, samsung t210"
"i-mobile i-style 2.8",NA,NA,NA,NA,NA,NA,NA
"i-mobile iqx oku",NA,NA,NA,NA,NA,NA,NA
"c2105","sony","xperia l",2013,"May","130","4.3","also known as sony xperia l c2105, sony xperia l c2104"
"a100","lenovo","a1000",2015,"September","60","4",NA
"i-mobile iq z bright",NA,NA,NA,NA,NA,NA,NA
"x-cite slim",NA,NA,NA,NA,NA,NA,NA
"i615",NA,NA,NA,NA,NA,NA,NA
"k016","asus","fonepad 8 fe380cg",2014,"Q3","200","8",NA
"lg  h324","lg","leon",2015,"April","120","4.5","also known as lg leon 4g lte h340n; lg leon dual sim with dual-sim card slots"
"c570","celkon","c570",2012,NA,NA,"2.4",NA
"lumia 532 dual sim","microsoft","lumia 532 dual sim",2015,"February","90","4",NA
"highway star",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 1.3 dtv",NA,NA,NA,NA,NA,NA,NA
"iq 5.6a",NA,NA,NA,NA,NA,NA,NA
"lenovo s860","lenovo","s860",2014,"May","250","5.3",NA
"modern s6","samsung","s6700",2009,"Q3","120","2.4",NA
"lt25i","sony","xperia m ultra",2015,"Q3",NA,"6","unofficial preliminary specifications. product image for illustrative purposes."
"g6-u251","huawei","g6600 passport",2010,"Q1","30","2.4",NA
"t12","philips","t129",2012,"March",NA,"2.4",NA
"x-cite classic",NA,NA,NA,NA,NA,NA,NA
"z160","acer","liquid z410",2015,"February","130","4.5",NA
"flare j1",NA,NA,NA,NA,NA,NA,NA
"gra-ul10","huawei","p8max",2015,"July","500","6.8",NA
"a800","lenovo","a800",2013,"January","120","4.5",NA
"htc one e9plus dual sim",NA,NA,NA,NA,NA,NA,NA
"t18","blu","tank",2012,"June","20","1.8","t180 - single sim
t190 - dual sim"
"i-mobile iq 9a",NA,NA,NA,NA,NA,NA,NA
"sm-t705","samsung","galaxy tab 2 7.0 i705",2012,"August","200","7","tablet with support for cdma, lte voice/data communication, sms, and mms
also known as samsung galaxy tab 2 (7.0) lte
for verizon"
"t05","acer","liquid z530",2015,"October","150","5",NA
"i-style 7.6a",NA,NA,NA,NA,NA,NA,NA
"lenny",NA,NA,NA,NA,NA,NA,NA
"nexus 4","lg","nexus 4 e960",2012,"November","250","4.7","also known as lg nexus 4, lg mako"
"s59",NA,NA,NA,NA,NA,NA,NA
"k00e","asus","fonepad",2013,"April","260","7","also available with a 1.6 ghz intel atom z2460 processor and 32 gb of built-in storage"
"c6903","sony","xperia z1",2013,"September","330","5","also known as sony xperia z1 honami, sony xperia z1 c6902/l39h, sony xperia z1 c6903, sony xperia z1 c6906, sony xperia z1 c6943"
"d5322","sony","xperia t2 ultra dual",2014,"March","280","6","also known as sony xperia t2 ultra dual sim d5322, xm50h"
"e39","acer","liquid e700",2014,"August","200","5","also known as acer liquid e700 trio"
"a500","lenovo","a5000",2015,"April","150","5",NA
"sm-n9200","samsung","galaxy note5",2015,"August","530","5.7","versions: n920t (t-mobile); n920a (at&t); n920i (australia, new zealand, singapore, canada); n920g
 (india)"
"lenovo s920 row","lenovo","s920",2013,"May","250","5.3",NA
"x-cite-gorilla5",NA,NA,NA,NA,NA,NA,NA
"gt-s6810","samsung","galaxy fame s6810",2013,"March","120","3.5","available as samsung galaxy fame s6810p with nfc; samsung galaxy fame duos s6812 with dual-sim card slots"
"i-mobile iq x wiz",NA,NA,NA,NA,NA,NA,NA
"rtech72 we 72 kk",NA,NA,NA,NA,NA,NA,NA
"lenovo k900 row","lenovo","k900",2013,"April","360","5.5",NA
"mi 4lte",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 7.7 dtv",NA,NA,NA,NA,NA,NA,NA
"lumia 550","microsoft","lumia 550",2015,"December","90","4.7",NA
"zte blade l0510",NA,NA,NA,NA,NA,NA,NA
"gt-i9070","samsung","i9070 galaxy s advance",2012,"April","150","4","also known as samsung galaxy s ii lite"
"a0001","oneplus","one",2014,"June","250","5.5",NA
"gt-i8750","samsung","ativ s i8750",2012,"December","220","4.8",NA
"i-mobile i-style 7.3",NA,NA,NA,NA,NA,NA,NA
"nexus 5x","lg","nexus 5x",2015,"October","270","5.2",NA
"v972m",NA,NA,NA,NA,NA,NA,NA
"lenovo s960","lenovo","vibe x s960",2013,"December","420","5",NA
"zte v765m",NA,NA,NA,NA,NA,NA,NA
"mz-m2 note","meizu","m1 note",2015,"January","130","5.5",NA
"z220","acer","liquid z220",2015,"April","90","4","available as acer liquid z220 duo with dual-sim card slot"
"pro plus+","motorola","pro+",2011,"November","220","3.1","also known as motorola motorola pro+ 4g for bell in canada, motorola pro plus mb632"
"nex start8",NA,NA,NA,NA,NA,NA,NA
"y511-u30","huawei","ascend y511",2013,"November","110","4.5",NA
"i-mobile i-style 2.4",NA,NA,NA,NA,NA,NA,NA
"x-cite-selfie",NA,NA,NA,NA,NA,NA,NA
"rainbow jam",NA,NA,NA,NA,NA,NA,NA
"n6","pantech","pursuit ii",2011,"July","200","2.8","for at&t
also known as pantech p6010"
"lumia 1520 like","nokia","lumia 1520",2013,"November","350","6","rm-937 - global version
rm-938 - us version
rm-939 - wcdma hspa+ version
rm-940 - at&t version"
"s2","samsung","galaxy tab s2 9.7",2015,"September","520","9.7","versions (2016): t813n (wi-fi); t819n (3g/lte)
versions (2015): t810 (wi-fi); t815 (3g/lte)"
"gt-n7105","samsung","galaxy note ii n7100",2012,"September","300","5.5",NA
"htc desire 620g dual sim","htc","desire 620g dual sim",2014,"December","190","5",NA
"lumia 1320 like","nokia","lumia 1320",2014,"January","210","6","rm-994 - global version
rm-995 - lta version
rm-996 version with hsdpa (21 mbps), hsupa (5.76 mbps)"
"sapphire 1","nokia","8800 arte",2007,"December","610","2",NA
"lg  d325","lg","l70 dual d325",2014,"May","130","4.5","also known as lg l70 dual sim d325"
"lenovo b6000-hv","lenovo","a5860",2011,"July",NA,"5.5","preliminary unofficial specifications"
"lenovo p780","lenovo","p780",2013,"June","190","5",NA
"6s","gionee","s6s",2016,"August","280","5.5",NA
"n5","samsung","galaxy on5 pro",2016,"July","150","5",NA
"5038e","alcatel","pop d5",2014,"September","100","4.5",NA
"twz y1",NA,NA,NA,NA,NA,NA,NA
"iq9.1a",NA,NA,NA,NA,NA,NA,NA
"mediapad x1 7.0","huawei","mediapad x1",2014,"April","350","7","tablet with support for gsm voice communication, sms, and mms.
also known as:
huawei mediapad x1 7.0
huawei honor x1 7d-501u with wi-fi & 3g connectivity"
"alcatel one touch 7047d","alcatel","pop c9",2014,"June","140","5.5",NA
"1512v3",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 2.5",NA,NA,NA,NA,NA,NA,NA
"g730-u27","huawei","g7300",2011,"November","90","3.5",NA
"lenovo s920","lenovo","s920",2013,"May","250","5.3",NA
"zyq",NA,NA,NA,NA,NA,NA,NA
"zte t620",NA,NA,NA,NA,NA,NA,NA
"sm-n9208","samsung","galaxy note5",2015,"August","530","5.7","versions: n920t (t-mobile); n920a (at&t); n920i (australia, new zealand, singapore, canada); n920g
 (india)"
"i-mobile i-style 2.7",NA,NA,NA,NA,NA,NA,NA
