"model_device","brand","model_name","release_year","release_month","release_price","screensize","detail"
"i552 mango",NA,NA,NA,NA,NA,NA,NA
"idea","lenovo","ideatab a2107",2013,"January","150","7",NA
"c5502","sony","xperia zr",2013,"June","230","4.55","also known as sony xperia zr c5502, sony xperia zr c5503, sony xperia zr lte, sony xperia zr hspa+"
"lg  v490","lg","g pad 8.0 lte",2014,"August","240","8","also known as lg v490, lg g pad 8.0 4g"
"n3","oppo","n3",2015,"January","550","5.5",NA
"c2104","sony","xperia l",2013,"May","130","4.3","also known as sony xperia l c2105, sony xperia l c2104"
"i-mobile iq 6.2",NA,NA,NA,NA,NA,NA,NA
"k00z","asus","p735",2007,"January","370","2.8",NA
"t11","samsung","galaxy tab 3 lite 7.0",2014,"February","150","7","tablet with no support for gsm voice communication, sms, and mms
also known as samsung t110"
"i-mobile iq 5.1a",NA,NA,NA,NA,NA,NA,NA
"nexus one","htc","google nexus one",2010,"January","120","3.7",NA
"a-203","nokia","asha 203",2012,"May","80","2.4",NA
"i502",NA,NA,NA,NA,NA,NA,NA
"mi-4c",NA,NA,NA,NA,NA,NA,NA
"lady","lg","c320 intouch lady",2010,"November","70","2.4","also known as lg c320 town"
"typhoon-t2",NA,NA,NA,NA,NA,NA,NA
"asus z00yd",NA,NA,NA,NA,NA,NA,NA
"hm note 1lte",NA,NA,NA,NA,NA,NA,NA
"moto g","motorola","moto g4",2016,"May","190","5.5",NA
"sm-t331","samsung","galaxy tab 4 8.0 3g",2014,"June","300","8","tablet with support for gsm voice communication, sms, and mms
also known as samsung t331, galaxy tab4 8.0 3g"
"iphone 6","apple","iphone 6s plus",2015,"September","750","5.5",NA
"y511-u251","huawei","ascend y511",2013,"November","110","4.5",NA
"nexus 6","huawei","nexus 6p",2015,"September","600","5.7",NA
"n7+","samsung","galaxy on7 pro",2016,"July","180","5.5",NA
"true beyond tab 3g",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 7.1",NA,NA,NA,NA,NA,NA,NA
"alcatel one touch 7041d","alcatel","ot-c700a",2007,NA,NA,"1.8",NA
"t01","huawei","honor 3x g750",2013,"December","250","5.5","also known as huawei ascend g750"
"i-mobile iq x3a",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 8.1",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq x slim 2",NA,NA,NA,NA,NA,NA,NA
"bluesea",NA,NA,NA,NA,NA,NA,NA
"lenovo a316i","lenovo","a316i",2014,"April","50","4",NA
"zte v811w",NA,NA,NA,NA,NA,NA,NA
"twz a55",NA,NA,NA,NA,NA,NA,NA
"zte v993w",NA,NA,NA,NA,NA,NA,NA
"lenovo a850","lenovo","a850+",2014,"April","160","5.5","also known as lenovo a850 plus"
"htc one e8","htc","one (e8) cdma",2014,"August","400","5","for sprint"
"motog3-te","motorola","aura",2008,"December","530","1.55","also motorola aura diamond edition plated with 34 diamonds and gold."
"y520-u33","huawei","ascend y520",2014,"December","80","4.5",NA
"f3216","sony","xperia xa ultra",2016,"July","380","6","also known as sony xperia xa ultra dual (f3212, f3216) with dual-sim card slots"
"i-mobile iq xa",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 211",NA,NA,NA,NA,NA,NA,NA
"ad-552","asus","zenfone 3 ze552kl",2016,"August","450","5.5",NA
"messi 2 4g",NA,NA,NA,NA,NA,NA,NA
"n7","samsung","galaxy on7 pro",2016,"July","180","5.5",NA
"shv-e300s","samsung","z3",2015,"October","110","5","versions: z300h/dd (india)"
"t3","huawei","honor 5c",2016,"May","200","5.2","asia model has fingerprint sensor
also known as huawei honor 7 lite, huawei gt3"
"c1905","sony","xperia m",2013,"August","130","4","also known as sony c1904, c1905, c2004, c2005; sony xperia m dual with dual-sim card slots"
"sunset",NA,NA,NA,NA,NA,NA,NA
"x-cite max",NA,NA,NA,NA,NA,NA,NA
"nexus 7","asus","google nexus 7 (2013)",2013,"July","230","7","avalable as:
asus google nexus 7 2 cellular with 3g/4g support
asus google nexus 7 2 with no cellular network support"
"x-cite premier",NA,NA,NA,NA,NA,NA,NA
"daimon1",NA,NA,NA,NA,NA,NA,NA
"nexus 6p","huawei","nexus 6p",2015,"September","600","5.7",NA
"i-mobile iq x",NA,NA,NA,NA,NA,NA,NA
"lenovo tb3-850m","lenovo","a5860",2011,"July",NA,"5.5","preliminary unofficial specifications"
"t14",NA,NA,NA,NA,NA,NA,NA
"6s plus","apple","iphone 6s plus",2015,"September","750","5.5",NA
"htc one max","htc","one max",2013,"October","370","5.9","available as htc one max dual sim for china"
"g9200","samsung","galaxy s6",2015,"April","410","5.1","curved screen version available - samsung galaxy s6 edge
versions: g9200 (hong kong), g9208 (china), g9208/ss (china), g9209 (china), g920a (at&t), g920f (global), g920fd (pakistan, philippines), g920i (latam, singapore, india, australia), g920s (korea), g920t (t-mobile)"
"htc one mini","htc","one mini 2",2014,"May","440","4.5",NA
"i-401 plus one",NA,NA,NA,NA,NA,NA,NA
"t5","samsung","galaxy tab a 10.1 (2016)",2016,"May","290","10.1","versions: t580 (wi-fi only); t585 (lte/wi-fi)
s-pen versions: p580 (wi-fi only); p585 (lte/wi-fi)"
"shv-e330s","samsung","i9506 galaxy s4",2013,"Q3","390","5","also known as:
samsung galaxy s4 advance in uk
samsung galaxy s4 with lte+
available as samsung shv-e330s galaxy s4 lte-a for sk telecom"
"gt-n8000","samsung","galaxy note 10.1 n8000",2012,"August","320","10.1","tablet with support for gsm voice communication, sms, and mms
also known as samsung galaxy note 800, samsung galaxy note 10.1 3g & wifi"
"idea selfie",NA,NA,NA,NA,NA,NA,NA
"hp slate 6 voice tab","hp","slate7 voicetab ultra",2014,NA,"400","7",NA
"sens5","htc","p3350",2007,"February","210","2.8","htc love platform. full htc platforms guide"
"x-cite-gorilla-diamond",NA,NA,NA,NA,NA,NA,NA
"iqx ken",NA,NA,NA,NA,NA,NA,NA
"lenovo s820","lenovo","s820",2013,"May","230","4.7",NA
"i-mobile i-style 8",NA,NA,NA,NA,NA,NA,NA
"lenovo a516","lenovo","a516",2013,"Q3","110","4.5",NA
"xt1572","motorola","moto x style",2015,"September","450","5.7","also known as moto x pure edition"
"a3000","lenovo","ideatab a3000",2013,"May","180","7",NA
"v5a-5.5",NA,NA,NA,NA,NA,NA,NA
"daimon5",NA,NA,NA,NA,NA,NA,NA
"v5","lava","v5",2016,"January","150","5.5",NA
"n14 edge","samsung","galaxy note edge",2014,"November","650","5.6","versions: n915fy (europe), n915a (at&t), n915t (t-mobile), n915k/n915l/n915s (korea), n915g (singapore, australia, spain), n915d (japan)"
"lumia 535","microsoft","lumia 535 dual sim",2014,"December","80","5",NA
"i-mobile i-style 7.3a",NA,NA,NA,NA,NA,NA,NA
"lenovo s660","lenovo","s660",2014,"June","170","4.7",NA
"grand max plus",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq z pro",NA,NA,NA,NA,NA,NA,NA
"k00r","asus","memo pad 7 me572cl",2014,"November","240","7",NA
"t04","acer","liquid z630s",2015,"September",NA,"5.5",NA
"sm-t715","samsung","d900i",2007,NA,"90","2.1",NA
"i-mobile i-style 2.9",NA,NA,NA,NA,NA,NA,NA
"aplus p9",NA,NA,NA,NA,NA,NA,NA
"5015e","alcatel","ot-e805",2007,"February",NA,NA,NA
"messi no.1",NA,NA,NA,NA,NA,NA,NA
"n6 plus+","motorola","rokr z6",2007,"January","90","2.1","formerly known as motorola rizr z6"
"rainbow lite",NA,NA,NA,NA,NA,NA,NA
"d6603","sony","xperia z3v",2014,"October","370","5.2","for verizon
also known as sony xperia z3v d6708"
"lenovo a706 row","lenovo","vibe k4 note",2016,"January","190","5.5","also known as: lenovo k4 note a7010a48, a7010, lenovo vibe x3 lite"
"s55","lg","stylus 2 plus",2016,"July","360","5.7","versions: k535d (india), k535n (hk, taiwan), lg stylo 2 plus ms550 (metro pcs); lg stylo 2 plus k550 (t-mobile), k530f (south america)
k530f, k535d and k535n models lack fingerprint scanner"
"e5803","sony","xperia z4 compact",2015,"Q3",NA,"4.7",NA
"a12","qmobile","noir a120",2014,"May","80","4",NA
"d2403","sony","d 2403",2015,"Q3","200","4.4","released as sony xperia m2 aqua"
"gt-i9060","samsung","galaxy grand neo",2014,"February","130","5.01","also known as: samsung galaxy grand lite; samsung galaxy grand neo plus i9060i with 2 mp front camera"
"i-mobile iq x2",NA,NA,NA,NA,NA,NA,NA
"jpad omega tab dtv701",NA,NA,NA,NA,NA,NA,NA
"n9plus",NA,NA,NA,NA,NA,NA,NA
"shv-e160s","samsung","galaxy ace 2 i8160",2012,"May","130","3.8","available as samsung galaxy ace ii x s7560m for bell canada"
"xt1032","motorola","q 9h",2007,"February","70","2.4","also known as motorola q q9
at&t version is called q 9h global and has gps and wcdma 850/1900 support"
"mi note pro",NA,NA,NA,NA,NA,NA,NA
"x5","posh","icon hd x551",2016,"January",NA,"5.5",""
"n5116","oppo","n1 mini",2014,"August","330","5",NA
"htc one m9plus",NA,NA,NA,NA,NA,NA,NA
"f5 13","benq","f5",2014,"September","100","5","also known as benq f5 4g lte"
"ss9",NA,NA,NA,NA,NA,NA,NA
"slide","t-mobile","mytouch 4g slide",2011,"July","350","3.7","also known as t-mobile doubleshot"
"twz a95",NA,NA,NA,NA,NA,NA,NA
"g510-0251","huawei","ascend g510",2013,"April","100","4.5","also known as ascend g510 u8951 with dual-sim card slots"
"htc one x","htc","one x",2012,"May","170","4.7","also known as htc one xt for china"
"n15",NA,NA,NA,NA,NA,NA,NA
"sgp621","sony","xperia z4 compact",2015,"Q3",NA,"4.7",NA
"p10","samsung","p1010 galaxy tab wi-fi",2011,"March","150","7","tablet with no support for gsm voice communication, sms, and mms"
"smart 5.0",NA,NA,NA,NA,NA,NA,NA
"mx5","meizu","mx5",2015,"July","200","5.5",NA
"iq 5.5",NA,NA,NA,NA,NA,NA,NA
"gt-s7580","samsung","galaxy s duos 2 s7582",2013,"December","130","4","also known as samsung galaxy trend plus s7580 with single-sim card slot"
"a21","micromax","canvas 4 a210",2013,"July","230","5",NA
"i-mobile iq 1068",NA,NA,NA,NA,NA,NA,NA
"n10","niu","domo n102",2012,"January","40","2","- single sim: n1021
- dual sim: n102"
"g6-u10","huawei","g6600 passport",2010,"Q1","30","2.4",NA
"t20","toshiba","excite at200",2012,"January","530","10.1","this is not a gsm device, it will not work on any gsm network worldwide."
"r8113","oppo","find",2012,"July","100","4.3",NA
"nex start9",NA,NA,NA,NA,NA,NA,NA
"f8132","sony","xperia x performance",2016,"June","700","5","also known as sony xperia x performance dual f8132 with dual-sim card slots"
"gt-i9305","samsung","i9305 galaxy s iii",2012,"September","320","4.8","also known as samsung galaxy s iii lte"
"i-401 plus",NA,NA,NA,NA,NA,NA,NA
"x-cite-gorilla7",NA,NA,NA,NA,NA,NA,NA
"lt26ii","sony","xperia p",2012,"May","210","4","previously known as sony lt22i nypon"
"blade s6",NA,NA,NA,NA,NA,NA,NA
"e2115","sony","xperia tipo dual",2012,"September","90","3.2","also known as sony st21i2, sony st21a2"
"o1","nokia","6301",2008,"March","130","2",NA
"asus z017db","asus","zenfone 3 ze552kl",2016,"August","450","5.5",NA
"q638",NA,NA,NA,NA,NA,NA,NA
"t2","samsung","galaxy tab a 7.0 (2016)",2016,"March","150","7","versions: t280 (wi-fi only); t285 (4g/wi-fi)"
"lg  d680","lg","g pro lite",2013,"November","250","5.5","also known as lg pro lite d680, d682tr"
"a555","samsung","c170",2007,"May","40","1.52",NA
"lg  e989","lg","optimus g pro e985",2013,"April","400","5.5","versions:
lg optimus g pro f240
lg optimus g pro l-04e
lg optimus g pro e980
lg optimus g pro e986 for europe"
"gt-i9301","samsung","i9301i galaxy s3 neo",2014,"June","270","4.8",NA
"lenovo x2-ap","lenovo","vibe x2 pro",2015,"April","330","5.3",NA
"redmi 3",NA,NA,NA,NA,NA,NA,NA
"s807touch",NA,NA,NA,NA,NA,NA,NA
"cherry life",NA,NA,NA,NA,NA,NA,NA
"z410","plum","axe lte",2015,"December",NA,"4","also known as plum z410"
"i-mobile iq 5.7a",NA,NA,NA,NA,NA,NA,NA
"a22new",NA,NA,NA,NA,NA,NA,NA
"oneplus a3000","oneplus","3",2016,"June","400","5.5","also known as oneplus three"
"grand max","samsung","galaxy grand max",2015,"January","260","5.25","also known as samsung galaxy grand max g720"
"shv-e250l","samsung","galaxy s6 edge",2015,"April","470","5.1","also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
"omega lite 2",NA,NA,NA,NA,NA,NA,NA
"c6502","sony","xperia zl",2013,"March","260","5","also known as:
sony xperia c6503, c6502, c6506, sony xperia zl lte, sony xperia zl hspa+
released as sony xperia zq in brazil"
"twz-a45",NA,NA,NA,NA,NA,NA,NA
"p8","allview","p8 energy mini",2016,"January","170","5",NA
"p6-u06","huawei","ascend p6 s",2014,"January","300","4.7","for china unicom"
"chat3","inq","mini 3g",2009,"September",NA,"2.2",NA
"i-05 v1","htc","p3350",2007,"February","210","2.8","htc love platform. full htc platforms guide"
"lt29i","sony","xperia tx",2012,"October","330","4.55","also known as sony lt29i"
"m2","blu","dash m2",2016,"April",NA,"5",NA
"g730-u10","huawei","g7300",2011,"November","90","3.5",NA
"lg  d682","lg","g pro lite",2013,"November","250","5.5","also known as lg pro lite d680, d682tr"
"g3","samsung","galaxy v plus",2015,"July","70","4","also known as samsung galaxy v+ g318"
"ad-560","lg","g stylo",2015,"May","180","5.7","versions: ls770 (boost mobile, sprint); h634 (cricket);"
"e9","htc","one e9+",2015,"May","320","5.5","also known as htc one e9 plus (a55)
"
"t6","qmobile","noir lt680",2016,"August",NA,"5",NA
"i-mobile i-tab fun 7009",NA,NA,NA,NA,NA,NA,NA
"galaxy nexus","samsung","galaxy nexus lte l700",2012,"April","270","4.65","for sprint"
"i516 x5",NA,NA,NA,NA,NA,NA,NA
"wax",NA,NA,NA,NA,NA,NA,NA
"158","huawei","t158",2008,NA,NA,"1.4",NA
"i551 grand",NA,NA,NA,NA,NA,NA,NA
"k00g",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 8.2a",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 712",NA,NA,NA,NA,NA,NA,NA
"v370","acer","betouch e200",2009,"October","190","3","also known as acer l1"
"e19 quad core",NA,NA,NA,NA,NA,NA,NA
"ale-l21","huawei","p8lite",2015,"May","170","5","also known as huawei ale-l21"
"z4","plum","axe plus 2",2016,"May",NA,"4","also known as plum z404"
"i-mobile i-style 212",NA,NA,NA,NA,NA,NA,NA
"daimon2","htc","touch diamond2",2009,"April","150","3.2","a.k.a. htc warhawk for at&t. htc topaz platform. "
"lt26i","sony","xperia m ultra",2015,"Q3",NA,"6","unofficial preliminary specifications. product image for illustrative purposes."
"i552happy",NA,NA,NA,NA,NA,NA,NA
"infinix-x552",NA,NA,NA,NA,NA,NA,NA
"au602",NA,NA,NA,NA,NA,NA,NA
"ad-575","sony","xperia m ultra",2015,"Q3",NA,"6","unofficial preliminary specifications. product image for illustrative purposes."
"daimon 4","htc","touch diamond",2008,"May","130","2.8","htc diamond 100 platform. full htc platforms guide"
"n8","samsung","galaxy note 10.1 n8010",2012,"August","350","10.1","tablet with no support for gsm voice communication, sms, and mms"
"x170","lg","gs390 prime",2010,"October","70","3","for at&t"
"daimon 3","htc","touch diamond",2008,"May","130","2.8","htc diamond 100 platform. full htc platforms guide"
"hm note 1w",NA,NA,NA,NA,NA,NA,NA
"gt-i9195","samsung","i9190 galaxy s4 mini",2013,"July","230","4.3","also known as samsung i9190 galaxy s iv mini; samsung i9190 galaxy s4 mini duos with dual-sim card slots"
"i-mobile i-tab dtv",NA,NA,NA,NA,NA,NA,NA
"e6633","sony","xperia tipo dual",2012,"September","90","3.2","also known as sony st21i2, sony st21a2"
"mi note lte",NA,NA,NA,NA,NA,NA,NA
"lg  d686","lg","g pro lite dual",2013,"November","240","5.5","also known as lg pro lite dual d686"
"lg  e988","lg","optimus g pro e985",2013,"April","400","5.5","versions:
lg optimus g pro f240
lg optimus g pro l-04e
lg optimus g pro e980
lg optimus g pro e986 for europe"
"m2-801l","huawei","t201",2008,NA,NA,"1.5",NA
"play 2","motorola","moto x play dual sim",2015,"August","320","5.5",NA
"a600","lenovo","a6000 plus",2015,"April","110","5","also known as lenovo a6000+"
"zh-cn","motorola","moto xt882",2011,"Q3","230","4",NA
"sm-t365","samsung","galaxy tab active lte",2014,"December","600","8","tablet with support for gsm voice communication, sms, and mms
also known as samsung t365"
"e4","plum","ram 4",2016,"April",NA,"2.4","also known as plum e400"
"i-mobile i-style 7.5",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq 512 dtv",NA,NA,NA,NA,NA,NA,NA
"xt1562","motorola","moto x play dual sim",2015,"August","320","5.5",NA
"crystal 2","sharp","aquos crystal 2",2015,"July",NA,"5.2",NA
"jimmy",NA,NA,NA,NA,NA,NA,NA
"x-citegorilla2","lg","x power",2016,"September","240","5.3","versions: k220ds (russia, uae); k220 (europe)"
"d2203","sony","xperia e3",2014,"September","170","4.5","also known as sony d2203, d2206, d2243, d2202"
"lumia 625h","nokia","lumia 625",2013,"August","160","4.7",NA
"modern-s8","samsung","s8300 ultratouch",2009,"March","140","2.8","- also known as samsung s8300 tocco ultra edition and samsung player ultra"
"shv-e310s","samsung","galaxy j3 (2016)",2016,"January","150","5","versions: j320f (emea); j320a (at&t); j320p (virgin mobile, boost); j3109 (china); j320m; j320y
also known as samsung galaxy j3 (2016) duos with dual-sim card slots"
"a2","panasonic","eluga a2",2016,"April","150","5",NA
"a44new",NA,NA,NA,NA,NA,NA,NA
"jupiter",NA,NA,NA,NA,NA,NA,NA
"t1","motorola","moto e dual sim (2nd gen)",2015,"March","100","4.5","also known as:
motorola moto e (2nd gen) 3g xt1506
motorola moto e (2nd gen) 4g xt1521"
"twz play123",NA,NA,NA,NA,NA,NA,NA
"gt-n5120","samsung","d900i",2007,NA,"90","2.1",NA
"s802 touch","lenovo","s820",2013,"May","230","4.7",NA
"typhoon",NA,NA,NA,NA,NA,NA,NA
"xt1033","motorola","moto g dual sim",2014,"January","140","4.5",NA
"u7015","oppo","t29",2012,"October","100","4.5",NA
"flare lite 2",NA,NA,NA,NA,NA,NA,NA
"sm-n7505","samsung","galaxy note 3 neo",2014,"February","320","5.5","versions: 
- samsung galaxy note 3 neo 3g n750
- samsung galaxy note 3 neo lte+ n7505"
"telego venus",NA,NA,NA,NA,NA,NA,NA
"tab-play369",NA,NA,NA,NA,NA,NA,NA
"i503","asus","zenwatch 3 wi503q",2016,"Q4","230","1.39","this is not a gsm device, it will not work on any gsm network worldwide."
"sm-a9000","samsung","galaxy a9 (2016)",2016,"January","550","6","also known as samsung galaxy a9 (2016) duos with dual-sim card slots"
"cool max","coolpad","max",2016,"June","380","5.5",NA
"lenovo p780 row","lenovo","p780",2013,"June","190","5",NA
"t15","motorola","moto e dual sim (2nd gen)",2015,"March","100","4.5","also known as:
motorola moto e (2nd gen) 3g xt1506
motorola moto e (2nd gen) 4g xt1521"
"lg  h961n","lg","v10",2015,"October","440","5.7","versions: h960a (europe); h900 (at&t), h901 (t-mobile), vs990 (verizon)"
"au501",NA,NA,NA,NA,NA,NA,NA
"hyasong z1",NA,NA,NA,NA,NA,NA,NA
"i-mobile i-style 2.2",NA,NA,NA,NA,NA,NA,NA
"pacific-a58",NA,NA,NA,NA,NA,NA,NA
"p5","samsung","galaxy tab a 10.1 (2016)",2016,"May","290","10.1","versions: t580 (wi-fi only); t585 (lte/wi-fi)
s-pen versions: p580 (wi-fi only); p585 (lte/wi-fi)"
"sm-j5007","samsung","galaxy j5 prime",2016,"October","230","5",NA
"d2302","sony","xperia m2 dual",2014,"April","180","4.8","also known as sony xperia m2 dual d2302"
"d6633","sony","xperia z3 dual",2014,"September","510","5.2","also known as sony xperia z3 d6633"
"mt1-u06","huawei","ascend mate",2013,"March","230","6.1",NA
"mz-mx5","meizu","mx5",2015,"July","200","5.5",NA
"d2004","sony","xperia e1 ii",2015,"Q3","180","4","unofficial preliminary specifications"
"play 3",NA,NA,NA,NA,NA,NA,NA
"lenovo tab 2 a8-50lc","lenovo","tab3 7",2016,"April","80","7",NA
"lt26w","sony","xperia acro s",2012,"August","230","4.3","also known as sony lt26w"
"delux1",NA,NA,NA,NA,NA,NA,NA
"lenovo a916","lenovo","a916",2014,"November","160","5.5",NA
"n13",NA,NA,NA,NA,NA,NA,NA
"infinix-x600-lte",NA,NA,NA,NA,NA,NA,NA
"lg  e975","lg","optimus gj e975w",2013,"June","270","4.7",NA
"spin2",NA,NA,NA,NA,NA,NA,NA
"y520-u22","huawei","ascend y520",2014,"December","80","4.5",NA
"n20","niu","pana 3g tv n206",2012,"September",NA,"2","- single sim: n216
- dual sim: n206"
"venue8 3840 lte","dell","xcd28",2010,"November","180","2.8",NA
"shw-m440s",NA,NA,NA,NA,NA,NA,NA
"true beyond 4g",NA,NA,NA,NA,NA,NA,NA
"lg  d838","lg","g pro 2",2014,"April","310","5.9","versions:
lg g pro 2 f350
lg g pro 2 d837 for europe
lg g pro 2 d838 for asia"
"typhoon-s006",NA,NA,NA,NA,NA,NA,NA
"ad-551","asus","zenfone 2 deluxe ze551ml",2015,"September","500","5.5","also known as asus zenfone 2 deluxe special edition"
"gt-i9506","samsung","i9506 galaxy s4",2013,"Q3","390","5","also known as:
samsung galaxy s4 advance in uk
samsung galaxy s4 with lte+
available as samsung shv-e330s galaxy s4 lte-a for sk telecom"
"sm-g531","samsung","galaxy tab 4 10.1 3g",2014,"June","300","10.1","tablet with support for gsm voice communication, sms, and mms.
also known as samsung t531, galaxy tab4 10.1 3g"
"v665",NA,NA,NA,NA,NA,NA,NA
"gt-i9205","samsung","galaxy note5",2015,"August","530","5.7","versions: n920t (t-mobile); n920a (at&t); n920i (australia, new zealand, singapore, canada); n920g
 (india)"
"gt-p3110","samsung","galaxy tab 2 7.0 p3110",2012,"May","150","7","tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 2 (7.0)"
"lumia 925 like","nokia","lumia 925",2013,"June","260","4.5",NA
"vivo v1",NA,NA,NA,NA,NA,NA,NA
"qpad",NA,NA,NA,NA,NA,NA,NA
"lenovo s820 row","lenovo","s820",2013,"May","230","4.7",NA
"sm-t2397","samsung","u450 doubletake",2009,"July","50","2.1","for verizon and alltel
also known as samsung intensity"
"hurricane-c6",NA,NA,NA,NA,NA,NA,NA
"lenovo a390 row","lenovo","a3900",2015,"August","70","5","preliminary specifications"
"i-mobile iq 510 dtv",NA,NA,NA,NA,NA,NA,NA
"android","samsung","galaxy core prime",2014,"November","150","4.5","available as samsung galaxy core prime value edition g361 with android v5.1
also known as samsung galaxy win 2 duos tv g360bt for brazil; samsung galaxy core prime duos with dual-sim card slots"
"a900","celkon","a900",2012,"November","120","5",NA
"htc d816x","htc","desire x",2012,"October","190","4","available as htc desire x dual sim with dual-sim card slots"
"hurricane-a8",NA,NA,NA,NA,NA,NA,NA
"i-mobile iq6.3a",NA,NA,NA,NA,NA,NA,NA
"selfy",NA,NA,NA,NA,NA,NA,NA
"gt-i9515","samsung","i9505 galaxy s4",2013,"April","330","5","also known as:
samsung galaxy s4 value edition i9515
samsung sgh-i337 for at&t
samsung i9505g galaxy s4 google play edition"
"n12","samsung","m8910 pixon12",2009,"August","240","3.1",NA
"au401",NA,NA,NA,NA,NA,NA,NA
"d5103","sony","xperia t",2012,"September","230","4.55","also known as sony lt30p; the bond phone for o2 uk"
"sm-t235","samsung","galaxy tab 4 7.0 lte",2014,"May","280","7","tablet with support for gsm voice communication, sms, and mms
also known as samsung t235, galaxy tab4 7.0 lte"
"c2004","sony","xperia m",2013,"August","130","4","also known as sony c1904, c1905, c2004, c2005; sony xperia m dual with dual-sim card slots"
"e6533","sony","xperia tipo dual",2012,"September","90","3.2","also known as sony st21i2, sony st21a2"
"i-mobile iq 9.2a",NA,NA,NA,NA,NA,NA,NA
"lumia 820 like","nokia","lumia 820",2012,"November","170","4.3",NA
"t7","qmobile","noir lt750",2016,"June",NA,"5",NA
"d2005","sony","xperia e1 ii",2015,"Q3","180","4","unofficial preliminary specifications"
"i-mobile iq1-1a",NA,NA,NA,NA,NA,NA,NA
"k015","asus","memo pad 8 me581cl",2014,"Q3","240","8",NA
"lg  h860","lg","g5",2016,"April","430","5.3","versions: h850 (europe); lg g5 speed h858 (taiwan); vs987 (verizon); h820 (at&t); ls992 (sprint); h830 (t-mobile); us992 (us cellular); vodafone
also known as lg g5 dual h860n with dual-sim card slots"
"nex slam5",NA,NA,NA,NA,NA,NA,NA
"i552mango",NA,NA,NA,NA,NA,NA,NA
"lenovo k50-t5","lenovo","golden warrior note 8",2014,"December","160","6","also known as lenovo a936"
"ad-571",NA,NA,NA,NA,NA,NA,NA
"nex 304",NA,NA,NA,NA,NA,NA,NA
"shv-e210k","samsung","galaxy tab 3 7.0 wifi",2013,"July","140","7","tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 7.0 p3210, samsung t210"
"wise3",NA,NA,NA,NA,NA,NA,NA
"mp10-30a a8",NA,NA,NA,NA,NA,NA,NA
"ep5","htc","tytn ii",2007,"July","140","2.8","htc kaiser platform. full htc platforms guide"
"shv-e300k","samsung","z3",2015,"October","110","5","versions: z300h/dd (india)"
"nx511j",NA,NA,NA,NA,NA,NA,NA
"d2305","sony","d 2403",2015,"Q3","200","4.4","released as sony xperia m2 aqua"
"smart3.5",NA,NA,NA,NA,NA,NA,NA
"nex start8plus",NA,NA,NA,NA,NA,NA,NA
